Approve	Disapprove	Undecided	poll_slug	survey_house	start_date	end_date	question_text	sample_subpopulation	observations	margin_of_error	mode	partisanship	partisan_affiliation
43.0	51.0	5.0	yougov-economist-23654	YouGov/Economist	2016-01-27	2016-01-30		Adults	2000	2.9	Internet	Nonpartisan	None
78.0	21.0	1.0	yougov-economist-23654	YouGov/Economist	2016-01-27	2016-01-30		Adults - Democrat	737		Internet	Nonpartisan	None
13.0	87.0	1.0	yougov-economist-23654	YouGov/Economist	2016-01-27	2016-01-30		Adults - Republican	485		Internet	Nonpartisan	None
36.0	54.0	10.0	yougov-economist-23654	YouGov/Economist	2016-01-27	2016-01-30		Adults - independent	778		Internet	Nonpartisan	None
48.0	48.0		gallup-23630	Gallup	2016-01-27	2016-01-29		Adults	1500	3.0	Live Phone	Nonpartisan	None
48.0	48.0		gallup-23628	Gallup	2016-01-26	2016-01-28		Adults	1500	3.0	Live Phone	Nonpartisan	None
49.0	50.0		rasmussen-23626	Rasmussen	2016-01-25	2016-01-28		Likely Voters	1500	3.0	IVR/Online	Nonpartisan	None
48.0	48.0		gallup-23621	Gallup	2016-01-25	2016-01-27		Adults	1500	3.0	Live Phone	Nonpartisan	None
50.0	49.0		rasmussen-23603	Rasmussen	2016-01-24	2016-01-27		Likely Voters	1500	3.0	IVR/Online	Nonpartisan	None
49.0	43.0	8.0	ibd-tipp-23624	IBD/TIPP	2016-01-22	2016-01-27		Adults	914	3.3	Live Phone	Nonpartisan	None
48.0	48.0		gallup-23609	Gallup	2016-01-24	2016-01-26		Adults	1500	3.0	Live Phone	Nonpartisan	None
49.0	47.0		gallup-23598	Gallup	2016-01-23	2016-01-25		Adults	1500	3.0	Live Phone	Nonpartisan	None
50.0	49.0		rasmussen-23593	Rasmussen	2016-01-21	2016-01-25		Likely Voters	1500	3.0	IVR/Online	Nonpartisan	None
48.0	46.0		gallup-23582	Gallup	2016-01-22	2016-01-24		Adults	1500	3.0	Live Phone	Nonpartisan	None
47.0	49.0	4.0	cnn-23605	CNN	2016-01-21	2016-01-24		Adults	1002	3.0	Live Phone	Nonpartisan	None
85.0	11.0	4.0	cnn-23605	CNN	2016-01-21	2016-01-24		Adults - Democrat		5.5	Live Phone	Nonpartisan	None
6.0	93.0	1.0	cnn-23605	CNN	2016-01-21	2016-01-24		Adults - Republican		6.0	Live Phone	Nonpartisan	None
45.0	49.0	6.0	cnn-23605	CNN	2016-01-21	2016-01-24		Adults - independent		5.0	Live Phone	Nonpartisan	None
50.0	46.0	4.0	abc-post-23602	ABC/Post	2016-01-21	2016-01-24		Adults	1001	3.5	Live Phone	Nonpartisan	None
45.0	52.0	3.0	morning-consult-23600	Morning Consult	2016-01-21	2016-01-24		Registered Voters	4001	2.0	Internet	Nonpartisan	None
79.0	19.0	2.0	morning-consult-23600	Morning Consult	2016-01-21	2016-01-24		Registered Voters - Democrat	1527	2.5	Internet	Nonpartisan	None
13.0	86.0	2.0	morning-consult-23600	Morning Consult	2016-01-21	2016-01-24		Registered Voters - Republican	1635		Internet	Nonpartisan	None
34.0	58.0	7.0	morning-consult-23600	Morning Consult	2016-01-21	2016-01-24		Registered Voters - independent			Internet	Nonpartisan	None
49.0	50.0		rasmussen-23576	Rasmussen	2016-01-20	2016-01-24		Likely Voters	1500	3.0	IVR/Online	Nonpartisan	None
50.0	50.0		nbc-surveymonkey-23599	NBC/SurveyMonkey	2016-01-18	2016-01-24		Adults	9690	1.3	Internet	Nonpartisan	None
49.0	47.0		gallup-23577	Gallup	2016-01-21	2016-01-23		Adults	1500	3.0	Live Phone	Nonpartisan	None
49.0	47.0		gallup-23565	Gallup	2016-01-20	2016-01-22		Adults	1500	3.0	Live Phone	Nonpartisan	None
49.0	48.0		gallup-23560	Gallup	2016-01-19	2016-01-21		Adults	1500	3.0	Live Phone	Nonpartisan	None
49.0	50.0		rasmussen-23557	Rasmussen	2016-01-19	2016-01-21		Likely Voters	1500	3.0	IVR/Online	Nonpartisan	None
45.0	48.0	7.0	fox-23588	FOX	2016-01-18	2016-01-21		Registered Voters	1009	3.0	Live Phone	Nonpartisan	None
82.0	14.0	5.0	fox-23588	FOX	2016-01-18	2016-01-21		Registered Voters - Democrat			Live Phone	Nonpartisan	None
12.0	83.0	5.0	fox-23588	FOX	2016-01-18	2016-01-21		Registered Voters - Republican			Live Phone	Nonpartisan	None
34.0	52.0	14.0	fox-23588	FOX	2016-01-18	2016-01-21		Likely Voters - independent			Live Phone	Nonpartisan	None
47.0	49.0		zogby-internet-23545	Zogby (Internet)	2016-01-19	2016-01-20		Likely Voters	843	3.4	Internet	Nonpartisan	None
47.0	48.0		gallup-23547	Gallup	2016-01-18	2016-01-20		Adults	1500	3.0	Live Phone	Nonpartisan	None
48.0	51.0		rasmussen-23544	Rasmussen	2016-01-18	2016-01-20		Likely Voters	1500	3.0	IVR/Online	Nonpartisan	None
45.0	51.0	4.0	ipsos-reuters-23542	Ipsos/Reuters	2016-01-16	2016-01-20		Adults	1561	2.8	Internet	Nonpartisan	None
80.0	18.0	2.0	ipsos-reuters-23542	Ipsos/Reuters	2016-01-16	2016-01-20		Adults - Democrat	629	4.5	Internet	Nonpartisan	None
10.0	89.0	1.0	ipsos-reuters-23542	Ipsos/Reuters	2016-01-16	2016-01-20		Adults - Republican	588	4.6	Internet	Nonpartisan	None
35.0	58.0	6.0	ipsos-reuters-23542	Ipsos/Reuters	2016-01-16	2016-01-20		Adults - independent	197	8.0	Internet	Nonpartisan	None
48.0	48.0		gallup-23534	Gallup	2016-01-17	2016-01-19		Adults	1500	3.0	Live Phone	Nonpartisan	None
50.0	49.0		rasmussen-23531	Rasmussen	2016-01-17	2016-01-19		Likely Voters	1500	3.0	IVR/Online	Nonpartisan	None
43.0	52.0	5.0	yougov-economist-23553	YouGov/Economist	2016-01-15	2016-01-19		Adults	2000	2.9	Internet	Nonpartisan	None
84.0	13.0	2.0	yougov-economist-23553	YouGov/Economist	2016-01-15	2016-01-19		Adults - Democrat	726		Internet	Nonpartisan	None
9.0	89.0	2.0	yougov-economist-23553	YouGov/Economist	2016-01-15	2016-01-19		Adults - Republican	489		Internet	Nonpartisan	None
35.0	55.0	10.0	yougov-economist-23553	YouGov/Economist	2016-01-15	2016-01-19		Adults - independent	785		Internet	Nonpartisan	None
49.0	46.0		gallup-23525	Gallup	2016-01-16	2016-01-18		Adults	1500	3.0	Live Phone	Nonpartisan	None
46.0	46.0	8.0	monmouth-university-23578	Monmouth University	2016-01-15	2016-01-18		Adults	1003	3.1	Live Phone	Nonpartisan	None
83.0	14.0	3.0	monmouth-university-23578	Monmouth University	2016-01-15	2016-01-18		Adults - Democrat	293	5.7	Live Phone	Nonpartisan	None
14.0	82.0	4.0	monmouth-university-23578	Monmouth University	2016-01-15	2016-01-18		Adults - Republican	308	5.6	Live Phone	Nonpartisan	None
39.0	45.0	16.0	monmouth-university-23578	Monmouth University	2016-01-15	2016-01-18		Adults - independent	378	5.1	Live Phone	Nonpartisan	None
49.0	50.0		rasmussen-23522	Rasmussen	2016-01-14	2016-01-18		Likely Voters	1500	3.0	IVR/Online	Nonpartisan	None
51.0	45.0		gallup-23515	Gallup	2016-01-15	2016-01-17		Adults	1500	3.0	Live Phone	Nonpartisan	None
41.0	56.0	3.0	morning-consult-23526	Morning Consult	2016-01-14	2016-01-17		Registered Voters	4060	2.0	Internet	Nonpartisan	None
75.0	23.0	2.0	morning-consult-23526	Morning Consult	2016-01-14	2016-01-17		Registered Voters - Democrat	1464		Internet	Nonpartisan	None
13.0	86.0	1.0	morning-consult-23526	Morning Consult	2016-01-14	2016-01-17		Registered Voters - Republican	1315		Internet	Nonpartisan	None
32.0	63.0	5.0	morning-consult-23526	Morning Consult	2016-01-14	2016-01-17		Registered Voters - independent	1281		Internet	Nonpartisan	None
49.0	50.0		rasmussen-23517	Rasmussen	2016-01-13	2016-01-17		Likely Voters	1500	3.0	IVR/Online	Nonpartisan	None
48.0	52.0	1.0	nbc-surveymonkey-23524	NBC/SurveyMonkey	2016-01-11	2016-01-17		Adults	11579	1.2	Internet	Nonpartisan	None
49.0	47.0		gallup-23514	Gallup	2016-01-14	2016-01-16		Adults	1500	3.0	Live Phone	Nonpartisan	None
49.0	46.0		gallup-23510	Gallup	2016-01-13	2016-01-15		Adults	1500	3.0	Live Phone	Nonpartisan	None
48.0	47.0		gallup-23506	Gallup	2016-01-12	2016-01-14		Adults	1500	3.0	Live Phone	Nonpartisan	None
47.0	52.0		rasmussen-23505	Rasmussen	2016-01-12	2016-01-14		Likely Voters	1500	3.0	IVR/Online	Nonpartisan	None
46.0	48.0	6.0	pew-23559	Pew	2016-01-07	2016-01-14		Adults	2009		Live Phone	Nonpartisan	None
47.0	48.0		gallup-23502	Gallup	2016-01-11	2016-01-13		Adults	1500	3.0	Live Phone	Nonpartisan	None
48.0	50.0		rasmussen-23499	Rasmussen	2016-01-11	2016-01-13		Likely Voters	1500	3.0	IVR/Online	Nonpartisan	None
48.0	48.0	4.0	ipsos-reuters-23501	Ipsos/Reuters	2016-01-09	2016-01-13		Adults	1602	2.8	Internet	Nonpartisan	None
79.0	19.0	2.0	ipsos-reuters-23501	Ipsos/Reuters	2016-01-09	2016-01-13		Adults - Democrat	696	4.2	Internet	Nonpartisan	None
17.0	82.0	1.0	ipsos-reuters-23501	Ipsos/Reuters	2016-01-09	2016-01-13		Adults - Republican	575	4.7	Internet	Nonpartisan	None
35.0	59.0	6.0	ipsos-reuters-23501	Ipsos/Reuters	2016-01-09	2016-01-13		Adults - independent	180	8.3	Internet	Nonpartisan	None
44.0	50.0		gallup-23496	Gallup	2016-01-10	2016-01-12		Adults	1500	3.0	Live Phone	Nonpartisan	None
47.0	51.0		rasmussen-23493	Rasmussen	2016-01-10	2016-01-12		Likely Voters	1500	3.0	IVR/Online	Nonpartisan	None
45.0	50.0		gallup-23486	Gallup	2016-01-09	2016-01-11		Adults	1500	3.0	Live Phone	Nonpartisan	None
48.0	51.0		rasmussen-23483	Rasmussen	2016-01-07	2016-01-11		Likely Voters	1500	3.0	IVR/Online	Nonpartisan	None
42.0	52.0	6.0	gravis-marketing-oann-23477	Gravis Marketing/OANN	2016-01-10	2016-01-10		Registered Voters	2416	2.0	Automated Phone	Sponsor	Rep
42.0	55.0	4.0	morning-consult-23500	Morning Consult	2016-01-08	2016-01-10		Registered Voters	2173	2.0	Internet	Nonpartisan	None
74.0	23.0	2.0	morning-consult-23500	Morning Consult	2016-01-08	2016-01-10		Registered Voters - Democrat	716		Internet	Nonpartisan	None
13.0	85.0	2.0	morning-consult-23500	Morning Consult	2016-01-08	2016-01-10		Registered Voters - Republican	770		Internet	Nonpartisan	None
34.0	59.0	7.0	morning-consult-23500	Morning Consult	2016-01-08	2016-01-10		Registered Voters - independent	688		Internet	Nonpartisan	None
47.0	49.0		gallup-23485	Gallup	2016-01-08	2016-01-10		Adults	1500	3.0	Live Phone	Nonpartisan	None
46.0	47.0	7.0	cbs-times-23487	CBS/Times	2016-01-07	2016-01-10		Adults	1276		Live Phone	Nonpartisan	None
81.0	13.0	7.0	cbs-times-23487	CBS/Times	2016-01-07	2016-01-10		Adults - Democrat	379		Live Phone	Nonpartisan	None
11.0	86.0	3.0	cbs-times-23487	CBS/Times	2016-01-07	2016-01-10		Adults - Republican	352		Live Phone	Nonpartisan	None
43.0	46.0	10.0	cbs-times-23487	CBS/Times	2016-01-07	2016-01-10		Adults - independent	545		Live Phone	Nonpartisan	None
46.0	53.0		rasmussen-23470	Rasmussen	2016-01-06	2016-01-10		Likely Voters	1500	3.0	IVR/Online	Nonpartisan	None
45.0	56.0	1.0	nbc-surveymonkey-23479	NBC/SurveyMonkey	2016-01-04	2016-01-10		Adults	9746	1.4	Internet	Nonpartisan	None
47.0	49.0		gallup-23467	Gallup	2016-01-07	2016-01-09		Adults	1500	3.0	Live Phone	Nonpartisan	None
46.0	49.0		gallup-23465	Gallup	2016-01-06	2016-01-08		Adults	1500	3.0	Live Phone	Nonpartisan	None
43.0	48.0	10.0	ibd-tipp-23468	IBD/TIPP	2016-01-04	2016-01-08		Adults	967	3.2	Live Phone	Nonpartisan	None
45.0	50.0		gallup-23452	Gallup	2016-01-05	2016-01-07		Adults	1500	3.0	Live Phone	Nonpartisan	None
46.0	53.0		rasmussen-23451	Rasmussen	2016-01-05	2016-01-07		Likely Voters	1500	3.0	IVR/Online	Nonpartisan	None
42.0	53.0	5.0	fox-23457	FOX	2016-01-04	2016-01-07		Registered Voters	1006	3.0	Live Phone	Nonpartisan	None
47.0	48.0		gallup-23450	Gallup	2016-01-04	2016-01-06		Adults	1500	3.0	Live Phone	Nonpartisan	None
46.0	53.0		rasmussen-23448	Rasmussen	2016-01-04	2016-01-06		Likely Voters	1500	3.0	IVR/Online	Nonpartisan	None
47.0	47.0	6.0	allstate-national-journal-23607	Allstate/National Journal	2016-01-02	2016-01-06		Adults	1000	3.1	Live Phone	Nonpartisan	None
44.0	51.0	5.0	ipsos-reuters-23449	Ipsos/Reuters	2016-01-02	2016-01-06		Adults	1754	2.7	Internet	Nonpartisan	None
76.0	23.0	2.0	ipsos-reuters-23449	Ipsos/Reuters	2016-01-02	2016-01-06		Adults - Democrat	709	4.2	Internet	Nonpartisan	None
7.0	92.0	1.0	ipsos-reuters-23449	Ipsos/Reuters	2016-01-02	2016-01-06		Adults - Republican	634	4.4	Internet	Nonpartisan	None
40.0	55.0	5.0	ipsos-reuters-23449	Ipsos/Reuters	2016-01-02	2016-01-06		Adults - independent	241	7.2	Internet	Nonpartisan	None
42.0	52.0	6.0	yougov-economist-23454	YouGov/Economist	2015-12-31	2016-01-06		Adults	2000	3.1	Internet	Nonpartisan	None
79.0	18.0	2.0	yougov-economist-23454	YouGov/Economist	2015-12-31	2016-01-06		Adults - Democrat	684		Internet	Nonpartisan	None
9.0	89.0	2.0	yougov-economist-23454	YouGov/Economist	2015-12-31	2016-01-06		Adults - Republican	480		Internet	Nonpartisan	None
34.0	55.0	11.0	yougov-economist-23454	YouGov/Economist	2015-12-31	2016-01-06		Adults - independent	801		Internet	Nonpartisan	None
46.0	50.0		gallup-23443	Gallup	2016-01-03	2016-01-05		Adults	1500	3.0	Live Phone	Nonpartisan	None
48.0	52.0		rasmussen-23441	Rasmussen	2016-01-03	2016-01-05		Likely Voters	1500	3.0	IVR/Online	Nonpartisan	None
46.0	50.0		gallup-23440	Gallup	2016-01-02	2016-01-04		Adults	1500	3.0	Live Phone	Nonpartisan	None
49.0	50.0		rasmussen-23439	Rasmussen	2015-12-30	2016-01-04		Likely Voters	1500	3.0	IVR/Online	Nonpartisan	None
45.0	51.0		gallup-23433	Gallup	2015-12-30	2016-01-03		Adults	1500	3.0	Live Phone	Nonpartisan	None
48.0	51.0		rasmussen-23431	Rasmussen	2015-12-29	2016-01-03		Likely Voters	1500	3.0	IVR/Online	Nonpartisan	None
48.0	52.0	1.0	nbc-surveymonkey-23438	NBC/SurveyMonkey	2015-12-28	2016-01-03		Adults	3700	1.9	Internet	Nonpartisan	None
45.0	51.0		gallup-23432	Gallup	2015-12-29	2016-01-02		Adults	1500	3.0	Live Phone	Nonpartisan	None
44.0	52.0		gallup-23430	Gallup	2015-12-28	2015-12-30		Adults	1500	3.0	Live Phone	Nonpartisan	None
46.0	52.0		rasmussen-23427	Rasmussen	2015-12-28	2015-12-30		Likely Voters	1500	3.0	IVR/Online	Nonpartisan	None
41.0	51.0	7.0	ipsos-reuters-23429	Ipsos/Reuters	2015-12-26	2015-12-30		Adults	2005	2.5	Internet	Nonpartisan	None
72.0	23.0	4.0	ipsos-reuters-23429	Ipsos/Reuters	2015-12-26	2015-12-30		Adults - Democrat	825	3.9	Internet	Nonpartisan	None
11.0	89.0	0.0	ipsos-reuters-23429	Ipsos/Reuters	2015-12-26	2015-12-30		Adults - Republican	722	4.2	Internet	Nonpartisan	None
27.0	61.0	12.0	ipsos-reuters-23429	Ipsos/Reuters	2015-12-26	2015-12-30		Adults - independent	278	6.7	Internet	Nonpartisan	None
46.0	50.0		gallup-23426	Gallup	2015-12-27	2015-12-29		Adults	1500	3.0	Live Phone	Nonpartisan	None
45.0	54.0		rasmussen-23425	Rasmussen	2015-12-27	2015-12-29		Likely Voters	1500	3.0	IVR/Online	Nonpartisan	None
47.0	49.0		gallup-23424	Gallup	2015-12-23	2015-12-28		Adults	1500	3.0	Live Phone	Nonpartisan	None
45.0	53.0		rasmussen-23423	Rasmussen	2015-12-23	2015-12-28		Likely Voters	1500	3.0	IVR/Online	Nonpartisan	None
48.0	48.0		gallup-23420	Gallup	2015-12-22	2015-12-27		Adults	1500	3.0	Live Phone	Nonpartisan	None
46.0	53.0		rasmussen-23419	Rasmussen	2015-12-22	2015-12-27		Likely Voters	1500	3.0	IVR/Online	Nonpartisan	None
46.0	52.0		rasmussen-23418	Rasmussen	2015-12-21	2015-12-23		Likely Voters	1500	3.0	IVR/Online	Nonpartisan	None
46.0	50.0		gallup-23417	Gallup	2015-12-21	2015-12-23		Adults	1500	3.0	Live Phone	Nonpartisan	None
42.0	52.0	7.0	ipsos-reuters-23413	Ipsos/Reuters	2015-12-19	2015-12-23		Adults	1593	2.8	Internet	Nonpartisan	None
73.0	24.0	3.0	ipsos-reuters-23413	Ipsos/Reuters	2015-12-19	2015-12-23		Adults - Democrat	603	4.6	Internet	Nonpartisan	None
12.0	87.0	1.0	ipsos-reuters-23413	Ipsos/Reuters	2015-12-19	2015-12-23		Adults - Republican	626	4.5	Internet	Nonpartisan	None
37.0	58.0	5.0	ipsos-reuters-23413	Ipsos/Reuters	2015-12-19	2015-12-23		Adults - independent	211	7.7	Internet	Nonpartisan	None
46.0	50.0		gallup-23408	Gallup	2015-12-20	2015-12-22		Adults	1500	3.0	Live Phone	Nonpartisan	None
47.0	53.0		rasmussen-23406	Rasmussen	2015-12-20	2015-12-22		Likely Voters	1500	3.0	IVR/Online	Nonpartisan	None
46.0	50.0		gallup-23403	Gallup	2015-12-19	2015-12-21		Adults	1500	3.0	Live Phone	Nonpartisan	None
43.0	52.0	4.0	yougov-economist-23415	YouGov/Economist	2015-12-18	2015-12-21		Adults	2000	3.1	Internet	Nonpartisan	None
80.0	17.0	4.0	yougov-economist-23415	YouGov/Economist	2015-12-18	2015-12-21		Adults - Democrat	758		Internet	Nonpartisan	None
7.0	92.0	1.0	yougov-economist-23415	YouGov/Economist	2015-12-18	2015-12-21		Adults - Republican	472		Internet	Nonpartisan	None
37.0	57.0	6.0	yougov-economist-23415	YouGov/Economist	2015-12-18	2015-12-21		Adults - independent	770		Internet	Nonpartisan	None
47.0	52.0	1.0	cnn-23416	CNN	2015-12-17	2015-12-21		Adults	1018	3.0	Live Phone	Nonpartisan	None
82.0	17.0	1.0	cnn-23416	CNN	2015-12-17	2015-12-21		Adults - Democrat			Live Phone	Nonpartisan	None
10.0	89.0	1.0	cnn-23416	CNN	2015-12-17	2015-12-21		Adults - Republican			Live Phone	Nonpartisan	None
44.0	54.0	2.0	cnn-23416	CNN	2015-12-17	2015-12-21		Adults - independent			Live Phone	Nonpartisan	None
47.0	52.0		rasmussen-23401	Rasmussen	2015-12-17	2015-12-21		Likely Voters	1500	3.0	IVR/Online	Nonpartisan	None
45.0	50.0		gallup-23398	Gallup	2015-12-18	2015-12-20		Adults	1500	3.0	Live Phone	Nonpartisan	None
41.0	55.0	4.0	arg-23397	ARG	2015-12-17	2015-12-20		Adults	1100	2.6	Live Phone	Nonpartisan	None
81.0	15.0	4.0	arg-23397	ARG	2015-12-17	2015-12-20		Adults - Democrat			Live Phone	Nonpartisan	None
2.0	94.0	4.0	arg-23397	ARG	2015-12-17	2015-12-20		Adults - Republican			Live Phone	Nonpartisan	None
32.0	63.0	5.0	arg-23397	ARG	2015-12-17	2015-12-20		Adults - independent			Live Phone	Nonpartisan	None
42.0	55.0	4.0	emerson-college-polling-society-23395	Emerson College Polling Society	2015-12-17	2015-12-20		Registered Voters	754	3.5	Automated Phone	Nonpartisan	None
44.0	52.0	4.0	quinnipiac-23405	Quinnipiac	2015-12-16	2015-12-20		Registered Voters	1140	2.9	Live Phone	Nonpartisan	None
88.0	11.0	2.0	quinnipiac-23405	Quinnipiac	2015-12-16	2015-12-20		Registered Voters - Democrat			Live Phone	Nonpartisan	None
7.0	92.0	1.0	quinnipiac-23405	Quinnipiac	2015-12-16	2015-12-20		Registered Voters - Republican			Live Phone	Nonpartisan	None
37.0	55.0	8.0	quinnipiac-23405	Quinnipiac	2015-12-16	2015-12-20		Registered Voters - independent			Live Phone	Nonpartisan	None
46.0	52.0		rasmussen-23394	Rasmussen	2015-12-16	2015-12-20		Likely Voters	1500	3.0	IVR/Online	Nonpartisan	None
44.0	51.0		gallup-23393	Gallup	2015-12-17	2015-12-19		Adults	1500	3.0	Live Phone	Nonpartisan	None
42.0	53.0		gallup-23392	Gallup	2015-12-16	2015-12-18		Adults	1500	3.0	Live Phone	Nonpartisan	None
44.0	48.0	8.0	ppp-d-23396	PPP (D)	2015-12-16	2015-12-17		Likely Voters	1267		IVR/Online	Pollster	Dem
75.0	17.0	7.0	ppp-d-23396	PPP (D)	2015-12-16	2015-12-17		Likely Voters - Democrat			IVR/Online	Pollster	Dem
12.0	83.0	4.0	ppp-d-23396	PPP (D)	2015-12-16	2015-12-17		Likely Voters - Republican			IVR/Online	Pollster	Dem
34.0	55.0	11.0	ppp-d-23396	PPP (D)	2015-12-16	2015-12-17		Likely Voters - independent			IVR/Online	Pollster	Dem
43.0	51.0	6.0	fox-23385	FOX	2015-12-16	2015-12-17		Registered Voters	1013	3.0	Live Phone	Nonpartisan	None
77.0	17.0	7.0	fox-23385	FOX	2015-12-16	2015-12-17		Registered Voters - Democrat			Live Phone	Nonpartisan	None
10.0	87.0	4.0	fox-23385	FOX	2015-12-16	2015-12-17		Registered Voters - Republican			Live Phone	Nonpartisan	None
34.0	54.0	12.0	fox-23385	FOX	2015-12-16	2015-12-17		Registered Voters - independent			Live Phone	Nonpartisan	None
43.0	53.0		gallup-23384	Gallup	2015-12-15	2015-12-17		Adults	1500	3.0	Live Phone	Nonpartisan	None
46.0	53.0		rasmussen-23383	Rasmussen	2015-12-15	2015-12-17		Likely Voters	1500	3.0	IVR/Online	Nonpartisan	None
45.0	51.0		gallup-23362	Gallup	2015-12-14	2015-12-16		Adults	1500	3.0	Live Phone	Nonpartisan	None
46.0	52.0		rasmussen-23360	Rasmussen	2015-12-14	2015-12-16		Likely Voters	1500	3.0	IVR/Online	Nonpartisan	None
42.0	53.0	5.0	ipsos-reuters-23361	Ipsos/Reuters	2015-12-12	2015-12-16		Adults	1978	2.5	Internet	Nonpartisan	None
75.0	24.0	1.0	ipsos-reuters-23361	Ipsos/Reuters	2015-12-12	2015-12-16		Adults - Democrat	765	4.0	Internet	Nonpartisan	None
9.0	90.0	1.0	ipsos-reuters-23361	Ipsos/Reuters	2015-12-12	2015-12-16		Adults - Republican	730	4.1	Internet	Nonpartisan	None
26.0	70.0	4.0	ipsos-reuters-23361	Ipsos/Reuters	2015-12-12	2015-12-16		Adults - independent	272	6.8	Internet	Nonpartisan	None
46.0	50.0		gallup-23336	Gallup	2015-12-13	2015-12-15		Adults	1500	3.0	Live Phone	Nonpartisan	None
46.0	53.0		rasmussen-23334	Rasmussen	2015-12-13	2015-12-15		Likely Voters	1500	3.0	IVR/Online	Nonpartisan	None
42.0	54.0	3.0	morning-consult-23333	Morning Consult	2015-12-11	2015-12-15		Registered Voters	4038	2.0	Internet	Nonpartisan	None
75.0	23.0	2.0	morning-consult-23333	Morning Consult	2015-12-11	2015-12-15		Registered Voters - Democrat	1472		Internet	Nonpartisan	None
11.0	87.0	1.0	morning-consult-23333	Morning Consult	2015-12-11	2015-12-15		Registered Voters - Republican	1265		Internet	Nonpartisan	None
35.0	59.0	6.0	morning-consult-23333	Morning Consult	2015-12-11	2015-12-15		Registered Voters - independent	1300		Internet	Nonpartisan	None
46.0	50.0		gallup-23332	Gallup	2015-12-12	2015-12-14		Adults	1500	3.0	Live Phone	Nonpartisan	None
46.0	52.0		rasmussen-23329	Rasmussen	2015-12-10	2015-12-14		Likely Voters	1500	3.0	IVR/Online	Nonpartisan	None
46.0	50.0		gallup-23322	Gallup	2015-12-11	2015-12-13		Adults	1500	3.0	Live Phone	Nonpartisan	None
40.0	51.0	8.0	monmouth-university-23355	Monmouth University	2015-12-10	2015-12-13		Adults	1006	3.1	Live Phone	Nonpartisan	None
79.0	16.0	5.0	monmouth-university-23355	Monmouth University	2015-12-10	2015-12-13		Adults - Democrat	324	5.5	Live Phone	Nonpartisan	None
10.0	86.0	3.0	monmouth-university-23355	Monmouth University	2015-12-10	2015-12-13		Adults - Republican	277	5.9	Live Phone	Nonpartisan	None
32.0	55.0	13.0	monmouth-university-23355	Monmouth University	2015-12-10	2015-12-13		Adults - independent	375	5.1	Live Phone	Nonpartisan	None
45.0	51.0	3.0	abc-post-23354	ABC/Post	2015-12-10	2015-12-13		Adults	1002	3.5	Live Phone	Nonpartisan	None
46.0	53.0		rasmussen-23323	Rasmussen	2015-12-09	2015-12-13		Likely Voters	1500	3.0	IVR/Online	Nonpartisan	None
46.0	49.0	4.0	pew-23337	Pew	2015-12-08	2015-12-13		Adults	1500		Live Phone	Nonpartisan	None
45.0	50.0		gallup-23320	Gallup	2015-12-10	2015-12-12		Adults	1500	3.0	Live Phone	Nonpartisan	None
44.0	51.0		gallup-23319	Gallup	2015-12-09	2015-12-11		Adults	1500	3.0	Live Phone	Nonpartisan	None
44.0	51.0		gallup-23305	Gallup	2015-12-08	2015-12-10		Adults	1500	3.0	Live Phone	Nonpartisan	None
47.0	52.0		rasmussen-23304	Rasmussen	2015-12-08	2015-12-10		Likely Voters	1500	3.0	IVR/Online	Nonpartisan	None
45.0	50.0		gallup-23299	Gallup	2015-12-07	2015-12-09		Adults	1500	3.0	Live Phone	Nonpartisan	None
46.0	53.0		rasmussen-23298	Rasmussen	2015-12-07	2015-12-09		Likely Voters	1500	3.0	IVR/Online	Nonpartisan	None
43.0	51.0	6.0	nbc-wsj-23321	NBC/WSJ	2015-12-06	2015-12-09		Adults	1000	3.1	Live Phone	Nonpartisan	None
41.0	53.0	6.0	ipsos-reuters-23297	Ipsos/Reuters	2015-12-05	2015-12-09		Adults	1416	3.0	Internet	Nonpartisan	None
69.0	27.0	4.0	ipsos-reuters-23297	Ipsos/Reuters	2015-12-05	2015-12-09		Adults - Democrat	573	4.7	Internet	Nonpartisan	None
10.0	89.0	1.0	ipsos-reuters-23297	Ipsos/Reuters	2015-12-05	2015-12-09		Adults - Republican	494	5.0	Internet	Nonpartisan	None
33.0	61.0	6.0	ipsos-reuters-23297	Ipsos/Reuters	2015-12-05	2015-12-09		Adults - independent	205	7.8	Internet	Nonpartisan	None
42.0	53.0	5.0	yougov-economist-23302	YouGov/Economist	2015-12-04	2015-12-09		Adults	2000	3.0	Internet	Nonpartisan	None
39.0	53.0	8.0	gravis-marketing-oann-23300	Gravis Marketing/OANN	2015-12-07	2015-12-08		Registered Voters	1995	2.2	Automated Phone	Sponsor	Rep
47.0	49.0		gallup-23285	Gallup	2015-12-06	2015-12-08		Adults	1500	3.0	Live Phone	Nonpartisan	None
45.0	54.0		rasmussen-23282	Rasmussen	2015-12-06	2015-12-08		Likely Voters	1500	3.0	IVR/Online	Nonpartisan	None
44.0	48.0	8.0	cbs-times-23308	CBS/Times	2015-12-04	2015-12-08		Adults	1275		Live Phone	Nonpartisan	None
81.0	15.0	5.0	cbs-times-23308	CBS/Times	2015-12-04	2015-12-08		Adults - Democrat			Live Phone	Nonpartisan	None
7.0	91.0	2.0	cbs-times-23308	CBS/Times	2015-12-04	2015-12-08		Adults - Republican			Live Phone	Nonpartisan	None
